user_id,step,timestamp,,,,,,,,,,,,,,,RECOMMENTATION NOTE,,,,,
U121,signup_started,20-07-2026 03:53,,Column1,UNIQUE USERS,CONVERSION RATE,DROP USERS,DROP-OFF PERCENTAGE,,,,,,,,,"The largest drop-off occurs at the Email Verification stage, indicating that users are abandoning the signup process due to added friction. Simplifying this step by introducing one-click verification, allowing temporary access before verification, and providing an easy resend option can improve the user experience. These changes are likely to increase user retention and improve the overall funnel conversion rate.",,,,,
U079,visited_site,20-07-2026 03:47,,visited_site,200,100%,,,,,,,,,,,,,,,,
U009,signup_started,20-07-2026 04:21,,signup_started,150,75%,50,25%,,,,,,,,,,,,,,
U185,details_filled,20-07-2026 04:16,,details_filled,96,64%,54,36%,,,,,,,,,,,,,,
U066,signup_started,20-07-2026 03:55,,email_verified,52,54%,44,46%,,,,,,,,,,,,,,
U199,details_filled,20-07-2026 04:37,,purchase_completed,44,85%,8,15%,,,,,,,,,,,,,,
U087,signup_started,20-07-2026 04:16,,,,,,,,,,,,,,,,,,,,
U007,signup_started,20-07-2026 04:11,,Maximum raw user drop,54,,,,,,,,,,,,,,,,,
U124,purchase_completed,20-07-2026 05:03,,Highest drop-off percentage rate,46%,,,,,,,,,,,,,,,,,
U193,visited_site,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U092,email_verified,20-07-2026 04:47,,,,,,,,,,,,,,,,,,,,
U137,visited_site,20-07-2026 03:44,,,,,,,,,,,,,,,,,,,,
U160,visited_site,20-07-2026 03:38,,,,,,,,,,,,,,,,,,,,
U165,visited_site,20-07-2026 04:01,,,,,,,,,,,,,,,,,,,,
U007,details_filled,20-07-2026 04:38,,,,,,,,,,,,,,,,,,,,
U065,signup_started,20-07-2026 04:03,,,,,,,,,,,,,,,,,,,,
U072,signup_started,20-07-2026 04:08,,,,,,,,,,,,,,,,,,,,
U051,signup_started,20-07-2026 03:47,,,,,,,,,,,,,,,,,,,,
U148,visited_site,20-07-2026 04:07,,,,,,,,,,,,,,,,,,,,
U095,signup_started,20-07-2026 03:52,,,,,,,,,,,,,,,,,,,,
U158,visited_site,20-07-2026 03:31,,,,,,,,,,,,,,,,,,,,
U139,visited_site,20-07-2026 04:09,,,,,,,,,,,,,,,,,,,,
U084,email_verified,20-07-2026 04:35,,,,,,,,,,,,,,,,,,,,
U143,visited_site,20-07-2026 03:39,,,,,,,,,,,,,,,,,,,,
